sample_id,vcmax,rl0,q10
86,37.958294,0.775134,1.980278
87,39.097102,0.722132,1.938242
88,40.837892,0.674476,1.900447
89,42.959645,0.639003,1.872312
90,45.18978,0.620896,1.857952
91,47.241047,0.622992,1.859614
92,48.850407,0.645391,1.877379
93,49.814627,0.685447,1.909148
94,50.017795,0.738122,1.950925
95,49.447001,0.796672,1.997361
96,48.194089,0.853558,2.042477
97,46.443222,0.901463,2.080471
98,44.445961,0.93429,2.106506
99,42.487215,0.94798,2.117363
100,40.84668,0.941065,2.111879
101,39.760983,0.914864,2.091099
102,39.391656,0.87331,2.058143
103,39.803275,0.822411,2.017774
104,40.954719,0.76944,1.975762
105,42.704733,0.721951,1.938099
106,44.83105,0.686756,1.910186
107,47.060471,0.669004,1.896107
108,49.105844,0.671482,1.898072
109,50.704926,0.694238,1.91612
110,51.655877,0.734578,1.948114
111,51.844579,0.787427,1.990028
112,51.260081,0.846015,2.036495
113,49.996081,0.902799,2.08153
114,48.238244,0.950477,2.119344
115,46.239073,0.982981,2.145123
116,44.283737,0.996296,2.155683
117,42.651468,0.989005,2.1499
118,41.577776,0.962479,2.128862
119,41.222569,0.920693,2.095722
120,41.648511,0.869687,2.055269
121,42.812541,0.816749,2.013284
122,44.571703,0.769429,1.975754
123,46.70249,0.734516,1.948064
124,48.9311,0.717119,1.934267
125,50.970489,0.719979,1.936535
126,52.559223,0.743091,1.954866
127,53.496866,0.783714,1.987084
128,53.671098,0.836733,2.029133
129,53.072928,0.895358,2.075628
130,51.797904,0.952037,2.120581
131,50.033183,0.999485,2.158212
132,48.0322,1.031665,2.183734
133,46.080369,1.044604,2.193997
134,44.456448,1.036938,2.187917
135,43.394817,1.010088,2.166622
136,43.05375,0.968072,2.133299
137,43.494,0.916963,2.092764
138,44.670568,0.864061,2.050807
139,46.438801,0.816912,2.013413
140,48.573964,0.782282,1.985947
141,50.801663,0.765241,1.972433
142,52.834978,0.768482,1.975003
143,54.413297,0.79195,1.993616
144,55.337592,0.832854,2.026057
145,55.497352,0.886042,2.06824
146,54.885543,0.944699,2.114761
147,53.599559,1.001272,2.15963
148,51.828041,1.048488,2.197077
149,49.825344,1.080342,2.22234
150,47.877113,1.092906,2.232305
151,46.26162,1.084865,2.225928
152,45.212104,1.057692,2.204376
153,44.8852,1.015449,2.170873
154,45.339742,0.964238,2.130258
155,46.528798,0.911375,2.088332
156,48.306024,0.864399,2.051075
157,50.44547,0.830053,2.023835
158,52.67216,0.81337,2.010604
159,54.699311,0.816993,2.013477
160,56.267147,0.840815,2.032371
161,57.178056,0.881998,2.065033
162,57.323341,0.935352,2.107348
163,56.697926,0.99404,2.153894
164,55.401047,1.050504,2.198676
165,53.622819,1.097486,2.235937
166,51.618507,1.129013,2.260941
167,49.673972,1.141201,2.270607
168,48.066987,1.132786,2.263933
169,47.029639,1.105291,2.242127
170,46.716917,1.062822,2.208445
171,47.185735,1.011513,2.167751
172,48.387229,0.958691,2.125858
173,50.173372,0.911891,2.088741
174,52.317006,0.877831,2.061728
175,54.542589,0.861506,2.048781
176,56.563487,0.86551,2.051957
177,58.120771,0.889686,2.071131
178,59.018257,0.931147,2.104013
179,59.149065,0.984664,2.146458
180,58.510078,1.04338,2.193026
181,57.20237,1.099733,2.237719
182,55.41752,1.146479,2.274794
183,53.41169,1.177677,2.299537
184,51.470946,1.189488,2.308904
185,49.872549,1.180699,2.301934
186,48.847423,1.152885,2.279874
187,48.548903,1.110193,2.246015
188,49.03198,1.058787,2.205245
189,50.245861,1.006008,2.163386
190,52.040842,0.959386,2.12641
191,54.188569,0.925615,2.099625
192,56.412947,0.909649,2.086963
193,58.427504,0.914035,2.090442
194,59.974168,0.938563,2.109895
195,60.858196,0.980299,2.142996
196,60.974526,1.033978,2.185569
197,60.322002,1.09272,2.232157
198,59.003529,1.148958,2.27676
199,57.212146,1.195466,2.313646
200,55.204895,1.226334,2.338127
